question,answer
"A two-day-old baby was diagnosed with polyhydramnios during pregnancy is now being evaluated because of watery stools, sleepiness, and poor appetite. On physical examination - prolonged capillary filling, dryness of the mucous membranes, and sunken Fontanelle. During pregnancy polyhydramnios was diagnosed. In laboratory tests: glucose: 72 mg/dL,.
PH 7.48, HCO3 30 meq/L (high), Na 130 meq/L (low), K 3.1 meq/L (low), Cl.
87 meq/L (low).
What is the most likely diagnosis?
A. CONGENITAL CHLORIDE DIARRHEA.
B. CONGENITAL SODIUM DIARRHEA.
C. GLUCOSE-GALACTOSE MALABSORPTION .
D. CONGENITAL LACTASE DEFICIENCY.
",A
"A 3-month-old baby with slight difficulty in eating and slow weight gain exerts himself while eating and is sweating, and panting. On examination: 50 breaths per minute; on auscultation: good air intake to the lungs, without crepitations, irregular heart sounds with a continuous coarse murmur in the left upper chest that radiates to the back, appropriate pulses, liver palpable about 2-3 cm under the arch of the ribs. The most likely diagnosis: 
A. Large VSD. 
B. A large ASD. 
C. Large PDA. 
D. Peripheral stenosis of the pulmonary valve PS. 

",C
"A 4-year-old suffers from abdominal pain and a CT scan of the abdomen reveals a solid finding with a diameter of 12x10 cm.
In laboratory tests:
HB 12 g/dL, normal values - 11.5-14.5.
WBC 7 (units are - 10 in the power of 3 and ml in the power of 3), normal values - 5-15.
PLT 160 (units are - 10 in the power of 3 and ml in the power of 3), normal values 150-140.
Uric Acid 9 mg/dL, normal values - 2.2-5.5.
Creatinine 1.2 mg/dL, normal values  - 0.3-0.7.
LDH 4000 U/L, normal values  - <615.
What electrolyte disturbance is typical in his condition?
A. Hypernatremia.
B. Hyperphosphatemia.
C. Hypercalcemia.
D. Hypokalemia.
",B
"A one-month-old infant has been hospitalized due to soft stools for the past three days and repeated vomiting since the day he was admitted. At home, he was treated in, addition to breastfeeding, with an oral rehydration solution of table salt and water prepared by the mother. In the Blood laboratory tests: Na 165 mEq/L, normal range - 132 142. K 4 mEq/L, normal range - 4.1 5.3. Urea 30 Urea mg/dl, normal range 8.4 25.8. Osmolarity 335. In the Urine laboratory tests: Na 170 mEq/L. Osmolarity 425. The US of the Kidneys was normal. What is the likely cause of electrolyte disturbance in this baby? 
A. Dehydration. 
B. Mutation in the ADH receptor. 
C. A disturbance in the thirst center. 
D. Salt poisoning. 


",D
"A 9 month old is examined in the ER due to a Tonic-clonic convulsion in 4 limbs that lasted 10 minutes and stopped spontaneously an hour before his arrival. It should be noted that the child was vaccinated until the age of two months only. When he arrived at the emergency room, a temperature of 40 degrees Celsius was measured. Which of the details in this baby's anamnesis would justify performing a lumbar puncture? 
A. The age of the baby. 
B. The height of the fever. 
C. The duration of the convulsion. 
D. The immune status.

",D
"A 12-year-old has been suffering for about two years from repeated episodes of painful aphthous ulcers in the oral cavity. In the last year, there were also several incidents of ulcers in the scrotal area and an erythematous Swollen rash on the calves that lasted for several continuous days. In the last month, he was diagnosed as suffering from anterior uveitis.
What is the most dangerous complication of the most likely diagnosis?
A. Joint deformations.
B. Hypercoagulability.
C. Nephrotic syndrome.
D. Pericarditis.
",B
"According to the vaccination guidelines: The mother of a 13-year-old boy consults with you about giving a vaccine against Corona. Which of the following sentences is correct? 
A. An interval of two weeks between the administration of the flu vaccine and the administration of the corona vaccine must be taken. 
B. Do not give the vaccine if anaphylaxis has been described in the past to Glycol Ethylene Poly (PEG). 
C. If the child has previously had myocarditis, it is recommended to vaccinate with the mRNA vaccine. 
D. It is possible to vaccinate as usual even in fever conditions above 38. 

",B
"A 6.5 year old girl is generally healthy, and has had normal development. As part of an investigation for abdominal pain, the Abdominal US was performed, and multiple ovarian cysts were demonstrated - with a maximum diameter of 1 cm. Which of the following statements correctly describes the finding? 
A. Clinically insignificant finding. 
B. High risk of developing an ovarian torsion. C. Endogenous/exogenous estrogen exposure. 
D. A suspicious finding for a malignant process. 

",A
"An 11 month old, refuses to crawl for two days. The parents deny fever/known injury/exposure to ill patients/exposure to unpasteurized dairy products. On her examination: vital signs are normal, and she is not carrying Weight on the right leg, sensitivity was noted when palpating the fibula bone on the right. What is true about the diagnosis?
A. Growth of the disease generator is expected in about 60% of the blood cultures.
B. X-ray is the test of choice in the early stages of the disease.
C. MRI has a higher sensitivity than CT.
D. The level of CRP is a sensitive index for diagnosis and is in direct correlation with joint damage.
",C
"According to the vaccination guidelines, which of the following constitutes a contraindication to administering the vaccine in first grade? 
A. Body temperature above 38.0 C. 
B. Treatment with steroid inhalers. 
C. A state of cerebral palsy. 
D. father with epilepsy. 

",A
"A 3-and-a-half-year-old was sent to child development evaluation due to suspected developmental delay. The doctor notes in his examination the enlargement of the liver and spleen. In the developmental examination, the child has difficulty walking, is unable to run, his vocabulary is poor (50 words), does not compose sentences, has difficulty Copying a circle and a cross, builds a tower from 3 cubes, and has difficulty cutting paper. Which of the following additional findings can be found in the child? 
A. Enlargement of testicles and protruding ears. 
B. Marked obesity and hypogonadism. 
C. Coarse facial features and excess hair. 
D. Bluish discoloration in the white of the eye. 

",C
"A 14-year-old is hospitalized due to anorexia nervosa, and in her examination, a BMI of -14 is noted. A nasogastric tube was inserted, and nutrition support was given. On her examination after about 24 hours, she looked pale and weak, accelerated heart rate (tachycardia) was measured, and she had dyspnea. What can explain her condition? 
A. Aspiration. 
B. Hypokalemia. 
C. Bacterial infection. 
D. Suicidal attempt. 

",B
"A two and a half-year old arrived at the ER after he was hit in the head by the edge of a table in his home. After crying for a short time, he briefly turned pale and lost consciousness for a few seconds without convulsive movements. After about half a minute, he fully recovered. The vital signs and physical examination were normal in his examination, with No evidence of scalp hematoma. What is the recommended approach? 
A. Hospitalization for a neurologist examination and completion of an EEG. 
B. Short observation in the emergency room followed by calming the parents and release. 
C. Completion of ECG and hospitalization for echocardiography. 
D. Completing a computed tomography (CT) of the head. 

",B
"A 3-year-old boy has suffered since infancy from recurrent infections in the nevus and skin and episodes of hypoglycemia with Ketones in the urine. In his examination, he had an enlarged liver and a round face. In the laboratory: neutrophils 400\ microliter (low) and high uric acid level. What else is expected to develop in his probable illness? 
A. Hypothyroidism. 
B. Inflammatory bowel disease. 
C. Hypertrophic cardiomyopathy. 
D. Peripheral neuropathy. 

",B
"A 10-year-old was examined for weight loss and upper abdominal pain, melena, and  diarrhea for two months. In a gastroscopy, multiple ulcers were observed in the esophagus and stomach. The fasting serum gastrin level test was high. Which of the following could be the likely diagnosis? 
A. Ulcerative Colitis-UC. 
B. Multiple Endocrine neoplasia 1- MEN1. 
C. Short Bowel Syndrome-SBS. 
D. EE-Eosinophilic Esophagitis. 

",B
"A 4-year-old has been suffering for a long time from a chronic cough and large, smelly stools. Under Physical examination, clubbing of the fingertips was found. Which test will help diagnose her disease? 
A. Elastase level in urine. 
B. The level of NO in exhaled air. 
C. Esophageal radiograph after barium ingestion. 
D. Testing the nasal potential difference. 

",D
"13 years old, suffers from being overweight and Polydipsia. Blood glucose test 96 mg/dL while fasting and 137 mg/dL two hours after glucose loading.
What is the recommended approach in this situation?
A. Start insulin treatment.
B. Repeat the test in 3 months.
C. Start medical treatment.
D. Change lifestyle.
",D
"A 5-year-old boy was examined for fever and sore throat for 3 days, and his examination revealed pharyngeal erythema. A throat culture was taken, and treatment with antipyretic drugs was started. The fever returned to normal after a day, and after 3 additional days, the growth of GAS (streptococcus bacillus A) in the pharyngeal culture was detected. What is the recommended approach according to the clinical guidelines? 
A. Take a repeated pharyngeal culture and treat if it is positive. 
B. Give a treatment with Ceforal for 5 days. 
C. Give a treatment with amoxicillin for 10 days. 
D. Clinical follow-up at the clinic and treatment with amoxicillin if the fever persists. 

",C
"A 15 year old was exposed to her grandmother who has pulmonary tuberculosis.
What is true about the PPD test that the girl should do?
A. The test includes an intramuscular protein injection and measuring the redness around the injection after 48 hours.
B. A false negative test is possible in malnutrition, viral infection, and attenuated live vaccine.
C. BCG vaccination in the past can cause a false negative Mento test.
D. The test must be performed within 48 hours of exposure to the TB.
",B
"A two-month-old girl, after a normal pregnancy and birth, is exclusively breastfed and is gaining weight well.
She suffers from recurring episodes of restlessness and crying that last at least 3 hours a day, for about three days A week. She was examined several times by a pediatrician with no pathological findings both in a physical examination and in developmental assessment.
What is true regarding the probable diagnosis of the baby?
A. Usually starts in the first week of life.
B. Lasts until the age of eight months.
C. Same incidence in breastfeeding and Infant formula.
D. More common in first-born male babies.
",C
"According to the clinical guidelines:
In which of the following situations is it recommended to measure blood pressure before the age of 3?
A. In a child with chronic liver disease.
B. In a child with failure to thrive (FTT).
C. In a child with a family history of neurofibromatosis.
D. In a child with a history of prematurity.
",D
"A 15-year-old boy who was in a car accident injured his back and lower limbs later suffered from sleep disorders, pain of a burning nature, and hyperesthesia in the left leg in a distribution corresponding to the nerves found In lumbar vertebrae 4 - 5 L. Treatment with acetaminophen and ibuprofen did not bring a noticeable improvement. What is the recommended treatment now? 
A. Oxycodone (Oxycontin). 
B. Valproic acid (Depalept). 
C. Cannabinoids. 
D. Amitriptyline. 

",D
"What is a contraindication to breastfeeding a newborn?
A. Unbalanced maternal diabetes.
B. Hepatitis C of the mother.
C. Untreated tuberculosis of the mother.
D. Galactosemia of the mother.
",C
"A one-year-old suffers from an allergy to eggs, which manifested itself as an anaphylactic reaction with shortness of breath and a generalized rash at age 9 months after exposure to an omelet.
Where should the MMRV vaccine be given to the baby, and should we give him the vaccine?
A. It is highly desirable to avoid giving the vaccine now.
B. The vaccine can be given without special instructions.
C. Give the vaccine in the presence of a doctor and under supervision.
D. The vaccine can be given in an allergy clinic.
","B,C,D"
"A 5-year-old resident of an agricultural farm goes to the doctor because of a fever for a week, stomach aches, and pains in his joints. On examination, he is pale, has an enlarged liver and spleen, and swelling in the right knee was noted with limitation in range of motion. What is true about the presumptive diagnosis? 
A. The test of choice for diagnosis is a serological test. 
B. A bone marrow examination must progress the diagnosis. 
C. The blood culture is positive in most cases. 
D. Meningitis is a common complication of the disease. 

",A
"A three-year-old has been hospitalized due to a high fever, occuring only in the evening, for about two weeks, combined with a gentle rash on the chest. On physical examination, an enlarged spleen was palpable. During the hospitalization, Swelling in the knee joints appeared, and a chest X-ray showed pleural fluid. In the laboratory tests: 22000 White blood cells/ millimeter cube in the blood count and a serum CRP level of 17 mg/dL (normal < 0.5), Blood sedimentation 100 mm in the first hour. Which of the following would raise suspicion of a life-threatening complication of her likely illness? 
A. Hypernatremia. 
B. Decrease in blood sedimentation. 
C. Increased protein level in the urine. 
D. Thrombocytosis. 

",B
"A 7 years old suffers from pain in the upper chest area, heartburn that does not respond to treatment with antacid, and difficulty swallowing solid food.
What is the recommended initial treatment for the most likely diagnosis?
A. Low fiber diet.
B. Oral prednisone treatment.
C. Flagyl (metronidazole) oral.
D. Elimination of suspect foods.
",D
"A 9 year old suffers from frontal headaches for 8 months, accompanied by nausea without vomiting,.
The pain has a pulsating nature and an intensity of 9/10, does not respond to painkillers, and does not wake the patient from sleep but is exacerbated when exposed to light.
There is no family history of headaches.
What is considered an indication for performing an imaging test on the child?
A. The absence of a family history of migraine.
B. Headache for more than 6 months.
C. Age younger than 10 years.
D. Lack of benefit with analgesic treatment.
",A
"A 4 years old i  bleeding from the chin a day after falling while playing in the garden. The bleeding did not stop under direct pressure and required for suturing in an operating room. In the anamnesis, the umbilical stump fell out at the age of two months. She suffered from recurrent hematomas after minor injuries. The parents are of Bedouin-Arab descent, and are cousins from the second degree. The blood count at the age of 10 months was normal. In tests now - hemoglobin: 7.2. Gram/dl, the level of platelets in the blood is normal and the coagulation functions are normal. What is a possible cause of the girl's illness? 
A. Von Willebrand disease type I. 
B. Missing factor. 13. 
C. Carriers for hemophilia A. 
D. Missing factor .11. 

",B
"A 9-year-old is being examined due to the development of vaginal hair for a year. In her examination, height and weight are in the 90th percentile. Curled hair is present between the labia and the axilla. In the X-RAY of the palm, the age of the bones is 11 years. In the lab. Serum testosterone level is normal, 17-hydroxyprogesterone (P-OH17) level in blood is 3 times the norm and LH and FSH levels below the measurement threshold. What is the most likely diagnosis? 
A. Brain tumor that caused all the symptoms. 
B. The maturation process is normal for her age. 
C. The non-classical hyperplasia of the adrenals. 
D. Adrenal tumor that caused all the symptoms. 

",C
"An 8-year-old, healthy, was awakened from sleep with a third event within a month that involved Chewing movements and later jumping of the right hand that lasted three minutes and passed spontaneously. At the time of the event, he was Conscious with open eyes and unable to speak. The physical examination is now normal. on the EEG: left centrotemporal epileptic activity. Brain MRI is normal. What is the recommended approach? 
A. Carbamazepine (Tegretol). 
B. Lamotrigine (Lamictal). 
C. Phenobarbital (Luminal). 
D. Follow up only. 

",A
"A mother to a girl suffering from a peanut allergy is now 12 weeks pregnant. How it is possible to prevent allergy in the child that will be born?
A. Avoid eating peanuts during pregnancy.
B. Expose to peanuts only after one year of age.
C. The mother should avoid peanuts in the diet for those who are exclusively breastfed until the age of 4 months.
D. Expose to peanuts after the start of exposure to solid foods, around the age of 4-6 months.
",D
"A generally healthy 12 year old is suffering from sore throat and fever for 5 days, with general weakness, and fatigue. On examination, enlarged tonsils with white surfaces on their surface, cervical lymph nodes are enlarged on both sides and the edge of the spleen is palpable 2 cm below the rib cage. The Rapid strep test in the clinic is negative.
What is true about his illness?
A. Rupture of the spleen is a common and potentially life-threatening complication.
B. Thrombocytopenia is mild in more than 50% of cases.
C. High ferritin and SOLUBLE-IL-2 levels are expected in most children.
D. Prophylactic intubation is required due to possible secondary obstruction of the airways.
",B
"A 7 years old has suffered from edema, foamy urine, but no blood. On examination, her blood pressure is normal, and on lab tests, the kidney functions are normal. Systemic prednisone treatment was started for 8 weeks up to now. In repeated blood tests: hypoalbuminemia, hyperlipidemia, creatinine to albumin ratio in urine is 3.5 mg/mg (normal < 0.2). What is the next step in case management? 
A. A biopsy of the kidney. 
B. Another course of steroids. 
C. Adding Rituximab treatment. 
D. Mapping of the kidneys with DMSA. 

",A
"A 6-year-old has been examined for weakness and pain in the upper right abdomen for the past year. In the family, the father underwent a splenectomy at the age of 10, he does not know why. On examination: paleness, slight jaundice in the conjunctiva, and the edge of the spleen is palpable. In the laboratory: hemoglobin 7.5 mg per deciliter (normal 11.5 - 13.5). Indexes are normal. Liver enzymes are normal. What is the test that will help identify the diagnosis: 
A. Level of pancreatic enzymes in the blood. 
B. Serology for EBV. 
C. Peripheral blood culture. 
D. Hemoglobin electrophoresis. 

",C
"A 15-year-old woman is referred to the emergency department due to a fever of up to 39 degrees Celsius, vomiting, and diarrhea from the day of her admission. On examination, moderate general condition, with a blood pressure of 80/50, 150 beat per minute, and a widespread erythematous rash with redness in the throat and strawberry tongue. In laboratory tests: WBC: 15 K/uL, normal values 4.5-11. NEUT: 70%, normal values 44-62%. PLT: 90 K/micrL, normal values 150-450. CRE: 1.1 mg\dl, normal values 0.5-0.95. UREA: 60 mg\dl, normal values 17-43. What is true about the course and diagnosis of the presumed disease: 
A. Bacteremia and secondary seeding of the bacteria in the various organs. 
B. A definitive diagnosis is based on identifying the bacteria in a pharyngeal culture. 
C. A toxin secreted by the bacteria causes the disease. 
D. The disease has mortality exceeding 20% despite appropriate treatment. 

",C
"A 7-year-old girl has been suffering from frequent soft stools and swollen eyelids on both sides for a week. In initial tests, the albumin level in the blood – was 2.5 grams per deciliter (normal values: 3.6 to 5.2 grams per deciliter), and the urinalysis was normal. What laboratory test result is expected to be found in addition? 
A. High level of elastase in the blood. 
B. High amylase level in the blood. 
C. A high level of alpha-1-antitrypsin in the blood. 
D. Low level of lymphocytes in peripheral blood. 

",D
"A 3 year old, who is healthy and vaccinated has had watery diarrhea up to 5 times a day, without vomiting or fever for 3 days. In a stool culture taken, the growth of campylobacter jejuni was detected. What is true about the treatment of this bacteria? 
A. It is necessary to give antibiotic treatment to all children with a positive stool culture for bacteria. 
B. Antibiotic treatment given at the beginning of the disease can shorten the duration of the disease. 
C. The treatment of choice for this bacteria is ciprofloxacin. 
D. In case of bacteremia from this bacteria, treatment with ceftriaxone should be given. 

",B
